Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Complement and coagulation cascades	11/85	1.702038e-06	3.693421e-04	0	0	7.054120e+00	9.370470e+01	THBD;C6;VWF;CFH;C7;PROS1;C9;SERPINE1;CLU;F3;CD55
KEGG_2021_Human	Focal adhesion	16/201	6.075701e-06	6.592135e-04	0	0	4.131114e+00	4.961970e+01	VWF;CAV1;VEGFC;LAMB1;IGF1;THBS2;COL1A1;COL1A2;TNN;KDR;FLNA;TLN2;FLNC;ITGA5;PPP1R12B;MYL9
KEGG_2021_Human	Rap1 signaling pathway	15/210	4.224939e-05	3.035056e-03	0	0	3.663391e+00	3.689738e+01	NGFR;ANGPT1;LPAR1;VEGFC;IGF1;MAPK11;FGF7;ID1;KIT;FGF18;KDR;PRKD1;TLN2;TEK;RAPGEF3
KEGG_2021_Human	Protein digestion and absorption	10/103	6.463677e-05	3.035056e-03	0	0	5.085343e+00	4.905692e+01	COL1A1;COL3A1;COL16A1;COL1A2;COL5A1;COL14A1;ELN;COL5A2;COL8A2;COL21A1
KEGG_2021_Human	PI3K-Akt signaling pathway	20/354	6.993216e-05	3.035056e-03	0	0	2.866506e+00	2.742668e+01	NGFR;VWF;ANGPT1;LPAR1;VEGFC;LAMB1;IGF1;THBS2;GNG11;COL1A1;FGF7;COL1A2;CDK6;TNN;KIT;FGF18;KDR;ITGA5;TEK;PCK1
KEGG_2021_Human	ECM-receptor interaction	9/88	9.978853e-05	3.609018e-03	0	0	5.378705e+00	4.955109e+01	COL1A1;COL1A2;VWF;TNN;LAMB1;CD36;ITGA5;THBS2;HSPG2
KEGG_2021_Human	Proteoglycans in cancer	14/205	1.221412e-04	3.786377e-03	0	0	3.482933e+00	3.138239e+01	LUM;CAV1;ANK2;IGF1;HSPG2;DCN;COL1A1;MAPK11;COL1A2;KDR;FLNA;FLNC;ITGA5;PPP1R12B
KEGG_2021_Human	TGF-beta signaling pathway	8/94	8.410590e-04	2.281373e-02	0	0	4.379733e+00	3.101222e+01	GREM1;FST;ID1;ID3;FMOD;NBL1;DCN;FBN1
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	8/100	1.260539e-03	3.039300e-02	0	0	4.092838e+00	2.732467e+01	COL1A1;THBD;MAPK11;COL3A1;COL1A2;SERPINE1;VEGFC;F3
KEGG_2021_Human	Adipocytokine signaling pathway	6/69	3.330387e-03	6.780318e-02	0	0	4.467720e+00	2.548685e+01	LEP;ADIPOQ;LEPR;CD36;PCK1;PPARGC1A
KEGG_2021_Human	AMPK signaling pathway	8/120	3.960214e-03	6.780318e-02	0	0	3.358523e+00	1.857753e+01	LEP;ADIPOQ;LEPR;PPARG;IGF1;CD36;PCK1;PPARGC1A
KEGG_2021_Human	Malaria	5/50	3.967077e-03	6.780318e-02	0	0	5.204636e+00	2.878021e+01	SELP;HBB;CD36;ACKR1;THBS2
KEGG_2021_Human	MAPK signaling pathway	14/294	4.061942e-03	6.780318e-02	0	0	2.364951e+00	1.302164e+01	NGFR;ANGPT1;CACNA2D3;VEGFC;IGF1;MAPK11;FGF7;MKNK1;KIT;FGF18;KDR;FLNA;FLNC;TEK
KEGG_2021_Human	PPAR signaling pathway	6/74	4.714322e-03	7.307199e-02	0	0	4.138150e+00	2.216869e+01	ADIPOQ;AQP7;PPARG;CD36;SORBS1;PCK1
KEGG_2021_Human	Amoebiasis	7/102	5.874856e-03	8.281474e-02	0	0	3.459252e+00	1.777043e+01	COL1A1;COL3A1;COL1A2;GNAL;C9;LAMB1;CD1C
KEGG_2021_Human	Relaxin signaling pathway	8/129	6.106156e-03	8.281474e-02	0	0	3.107278e+00	1.584233e+01	COL1A1;ACTA2;MAPK11;COL3A1;COL1A2;MMP13;VEGFC;GNG11
