Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Cell cycle	29/124	7.965032e-17	2.015153e-14	0	0	9.145532e+00	3.390147e+02	GSK3B;HDAC2;PCNA;PRKDC;BUB1B;TTK;PKMYT1;CDC20;ORC5;ORC4;PTTG1;YWHAQ;RAD21;CHEK1;E2F3;SKP2;PLK1;CDC25C;YWHAZ;RBX1;CCNA2;DBF4;RBL1;ESPL1;CCNE1;CDK2;CDK1;MCM3;MCM6
KEGG_2021_Human	RNA transport	27/186	1.472105e-10	1.862213e-08	0	0	5.054787e+00	1.144361e+02	CYFIP1;NUP205;POM121;POP7;POP1;POP4;NXT2;NUP160;FXR1;XPO1;SUMO1;MAGOH;NUP62;RPP38;NDC1;UPF2;RANBP2;NUP155;THOC1;NUP153;RANGAP1;XPOT;NUP50;TACC3;GEMIN6;EIF4E2;EIF3D
KEGG_2021_Human	DNA replication	12/36	1.103045e-09	9.302348e-08	0	0	1.464719e+01	3.021011e+02	RFC3;POLA2;PCNA;RNASEH2A;LIG1;PRIM1;POLD1;POLE2;RPA3;MCM3;MCM6;SSBP1
KEGG_2021_Human	Homologous recombination	11/41	7.050510e-08	4.100456e-06	0	0	1.072167e+01	1.765599e+02	BARD1;TOP3B;BLM;RAD51;POLD1;RPA3;XRCC3;NBN;TOPBP1;SSBP1;RAD54B
KEGG_2021_Human	Amyotrophic lateral sclerosis	34/364	8.103667e-08	4.100456e-06	0	0	3.072956e+00	5.017634e+01	NUP205;POM121;COX7B;PSMD14;TUBAL3;NDUFB2;COX7A2;NXT2;PSMA7;NUP160;TUBA1C;PSMB7;TUBA1B;PSMB5;PSMD2;RB1CC1;NUP62;PSMD1;RAC1;UBQLN2;NDC1;RANBP2;HNRNPA3;NDUFA6;NUP155;NUP153;MAPK13;PSMA3;PSMA4;NUP50;SRSF3;CYCS;NDUFS1;DNAL4
KEGG_2021_Human	Spliceosome	18/150	2.962071e-06	1.154948e-04	0	0	4.008840e+00	5.103102e+01	SF3B5;PRPF38B;HNRNPA3;THOC1;LSM5;U2SURP;LSM8;LSM6;SNRPD2;PUF60;MAGOH;SNRNP27;SRSF3;SNRPA1;SNRPD3;HNRNPC;SMNDC1;BCAS2
KEGG_2021_Human	Ribosome biogenesis in eukaryotes	15/108	3.195509e-06	1.154948e-04	0	0	4.729544e+00	5.984653e+01	POP7;POP1;POP4;NXT2;REXO2;WDR43;RRP7A;FBL;XPO1;TCOF1;DKC1;BMS1;GAR1;UTP14A;RPP38
KEGG_2021_Human	Huntington disease	27/306	5.129235e-06	1.622121e-04	0	0	2.862653e+00	3.486870e+01	COX7B;HDAC2;PSMD14;TUBAL3;NDUFB2;CLTA;COX7A2;PSMA7;TUBA1C;PSMB7;TUBA1B;PSMB5;POLR2B;PSMD2;RB1CC1;PSMD1;POLR2F;POLR2H;IFT57;POLR2K;NDUFA6;PSMA3;PSMA4;CYCS;NDUFS1;SLC25A5;DNAL4
KEGG_2021_Human	Mismatch repair	7/23	7.109667e-06	1.998606e-04	0	0	1.272506e+01	1.508435e+02	MSH6;RFC3;PCNA;LIG1;POLD1;RPA3;SSBP1
KEGG_2021_Human	Proteasome	9/46	1.849199e-05	4.678473e-04	0	0	7.088593e+00	7.725271e+01	PSMB7;PSMA3;PSMB5;PSMA4;PSMD14;PSMD2;POMP;PSMD1;PSMA7
