Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Oxidative phosphorylation	15/133	5.706184e-05	1.145250e-02	0	0	3.608778e+00	3.526272e+01	COX8A;NDUFA13;NDUFA7;COX15;COX4I1;NDUFA3;COX17;NDUFA2;NDUFC1;SDHA;NDUFS6;NDUFAB1;UQCRC1;COX11;ATP6V0A4
KEGG_2021_Human	Diabetic cardiomyopathy	19/203	8.390108e-05	1.145250e-02	0	0	2.938786e+00	2.758307e+01	COX8A;NDUFA13;NDUFA7;COX4I1;NDUFA3;GSR;GFPT1;NDUFA2;PIK3R3;ATP2A2;NDUFC1;SDHA;TGFBR1;PPP1CC;NDUFS6;NDUFAB1;UQCRC1;PDK2;SLC25A6
KEGG_2021_Human	Huntington disease	24/306	1.729729e-04	1.574053e-02	0	0	2.427765e+00	2.103021e+01	COX8A;DCTN5;NDUFA13;NDUFA7;PSMD11;TBP;COX4I1;NDUFA3;CLTC;NDUFA2;CLTB;HTT;NDUFC1;SDHA;SOD1;PSMC5;POLR2A;PSMB3;NDUFS6;NDUFAB1;UQCRC1;TAF4;SLC25A6;POLR2L
KEGG_2021_Human	Thermogenesis	18/232	1.219209e-03	8.321100e-02	0	0	2.386510e+00	1.601242e+01	COX8A;SMARCE1;CPT1A;NDUFA13;KDM3A;NDUFA7;COX15;COX4I1;NDUFA3;COX17;NDUFA2;NDUFC1;SDHA;NDUFS6;NDUFAB1;UQCRC1;MLST8;COX11
KEGG_2021_Human	RNA transport	14/186	5.328542e-03	2.049054e-01	0	0	2.300831e+00	1.204411e+01	POP5;UBE2I;EIF1AX;EIF1;NUP93;DDX19A;CLNS1A;GEMIN4;STRAP;RNPS1;GEMIN8;EIF2B1;RAE1;NUP37
KEGG_2021_Human	Ubiquinone and other terpenoid-quinone biosynthesis	3/11	5.504693e-03	2.049054e-01	0	0	1.052017e+01	5.472753e+01	GGCX;TAT;HPD
KEGG_2021_Human	Parkinson disease	17/249	6.084367e-03	2.049054e-01	0	0	2.074011e+00	1.058167e+01	COX8A;NDUFA13;NDUFA7;PSMD11;COX4I1;NDUFA3;NDUFA2;UBE2G1;NDUFC1;SDHA;PSMC5;UBB;PSMB3;NDUFS6;NDUFAB1;UQCRC1;SLC25A6
KEGG_2021_Human	Prion disease	18/273	6.898086e-03	2.049054e-01	0	0	1.998497e+00	9.945541e+00	COX8A;NDUFA13;NDUFA7;PSMD11;COX4I1;NDUFA3;NDUFA2;PIK3R3;NDUFC1;SDHA;SOD1;PSMC5;PSMB3;NDUFS6;NDUFAB1;UQCRC1;SLC25A6;MAPK3
KEGG_2021_Human	Non-alcoholic fatty liver disease	12/155	7.653830e-03	2.049054e-01	0	0	2.368683e+00	1.154152e+01	COX8A;NDUFA13;NDUFA7;NDUFS6;COX4I1;NDUFA3;NDUFA2;NDUFAB1;UQCRC1;PIK3R3;NDUFC1;SDHA
KEGG_2021_Human	Pathways of neurodegeneration	27/475	8.184271e-03	2.049054e-01	0	0	1.711916e+00	8.226681e+00	RAB1A;DCTN5;NDUFA13;PSMD11;COX4I1;HTT;ATP2A2;UBB;PSMB3;FADD;MAPK3;COX8A;GABARAPL2;NDUFA7;NDUFA3;NDUFA2;NDUFC1;UBE2G1;SDHA;DKK1;SOD1;PSMC5;VAPB;NDUFS6;NDUFAB1;UQCRC1;SLC25A6
