Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	Neuroactive ligand-receptor interaction	126/341	2.702332e-36	8.296160e-34	0	0	4.879365e+00	3.996149e+02	CHRM2;PRSS1;CHRM4;CHRM5;PMCH;GRPR;HTR6;CYSLTR1;CYSLTR2;PRSS2;CHRNB2;GHSR;CHRNB4;LHCGR;NPFF;TAAR2;PDYN;TRHR;ADCYAP1;MTNR1A;MTNR1B;IAPP;AGTR2;GRIA1;ADCYAP1R1;CALCA;CALCB;CHRNA4;CSH1;CHRNA6;CHRNA9;FPR3;ADRB1;FPR2;LPAR4;NTS;MCHR1;CRHR2;GHRHR;GRIN2A;MC2R;GALR3;HRH3;GALR2;GALR1;PPY;DRD1;DRD2;DRD3;NTSR1;GRIA3;NTSR2;HTR1E;NMBR;GRIN2C;GRIN2B;GRIN2D;GH2;MC1R;GNRH2;RLN2;NMUR1;RLN1;GABRB3;GABRB1;THRB;GRIK5;MLNR;GRIK3;GRIK4;GRIK1;HTR2A;MLN;LTB4R;BRS3;GRM3;GABRR2;GRM5;CCKAR;GRM4;GRM6;GRM8;INSL3;TSHB;GPR35;AVPR2;GLP2R;TACR2;TACR3;OPRM1;SSTR1;F2;ADRA2C;SSTR2;ADRA2B;SSTR3;SSTR5;MC3R;CCKBR;CRH;PTH;PLG;CHRND;GLRA1;CHRNE;P2RY1;CHRNA10;PRLH;S1PR2;GABRA2;GABRA1;P2RY11;GABRA6;GABRA5;GCGR;GABRA3;OPRK1;GCG;HCRTR2;GRIN1;KISS1;P2RX6;SST;MC5R;VIP;F2RL3
GO_Biological_Process_2021	Coronavirus disease	59/232	8.272083e-10	1.269765e-07	0	0	2.758586e+00	5.769021e+01	RPL4;IFNA5;RPL30;IFNA7;RPL3;CSF2;RPL32;RPL34;IFNA2;RPLP0;C8B;RPL9;C8A;IFNA8;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;C8G;RPS18;RPL39;RPS10;MBL2;PRKCG;RPS9;IFNA14;RPS8;IFNA17;RPL13A;RPSA;F2;IRF3;TRAF3;RPL37A;MASP2;MASP1;IFNA10;RPL12;RPL36A;C2;MAPK8;RPL14;RPS3;IFNA21;IFNB1;STAT2;RPL23A;NFKB1;MAPK12;MAPK10;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS21;RPS23
GO_Biological_Process_2021	Nicotine addiction	20/40	1.261944e-09	1.291390e-07	0	0	8.015357e+00	1.642396e+02	GABRB3;GRIA1;CHRNB2;GABRA2;GABRA1;GABRB1;GABRA6;CHRNA4;GABRA5;CHRNA6;GABRA3;CACNA1B;GRIN2C;GRIN2B;GRIN1;GRIN2D;GABRR2;GRIN2A;SLC17A7;GRIA3
GO_Biological_Process_2021	cAMP signaling pathway	54/216	8.106340e-09	6.221616e-07	0	0	2.691743e+00	5.014884e+01	CHRM2;HTR6;AKT2;PRKACG;NPPA;PRKACA;AMH;PRKACB;TSHB;GHSR;LHCGR;PDE4D;SSTR1;SSTR2;SSTR5;ADCYAP1;CNGB3;PPARA;CFTR;GRIA1;CAMK2B;HCN4;ADCYAP1R1;CAMK2A;ATP1A3;ADRB1;CACNA1C;ADCY8;CACNA1F;PLD1;GRIN2A;MC2R;MAPK8;CACNA1S;DRD1;DRD2;GRIA3;HTR1E;BDNF;NFATC1;GCG;ATP2B2;GRIN2C;GRIN2B;NFKB1;GRIN2D;GRIN1;MAPK10;ADCY10;SST;FXYD2;PDE3A;VIP;HCN2
GO_Biological_Process_2021	Glutamatergic synapse	35/114	1.386963e-08	8.515950e-07	0	0	3.563444e+00	6.447540e+01	GRIA1;GRIK5;GRIK3;GRIK4;GRIK1;CACNA1C;PLD1;SLC1A6;ADCY8;SLC1A7;GRM3;GRIN2A;PPP3R1;GRM5;GRM4;GRM6;GNG4;PRKACG;GNG7;GRM8;DLGAP1;SLC17A7;PRKACA;PRKACB;GRIA3;PRKCG;GRIN2C;GRIN2B;GRIN2D;GRIN1;GNAO1;DLG4;GNB5;PLCB2;SHANK1
GO_Biological_Process_2021	Insulin secretion	28/86	9.512475e-08	4.188469e-06	0	0	3.875199e+00	6.265452e+01	CAMK2B;ADCYAP1R1;ATF6B;CAMK2A;SLC2A2;ATP1A3;CACNA1C;ADCY8;CACNA1F;INS;RIMS2;CCKAR;PRKACG;KCNMB2;KCNMB4;KCNN1;CACNA1S;KCNN3;PRKACA;PRKACB;PRKCG;PDX1;GCG;GCK;ADCYAP1;FXYD2;PLCB2;STX1A
GO_Biological_Process_2021	Cocaine addiction	20/49	9.550256e-08	4.188469e-06	0	0	5.525029e+00	8.930719e+01	DDC;ATF6B;BDNF;PDYN;GRIN2C;GRIN2B;SLC6A3;NFKB1;GRIN1;GRIN2D;GRM3;GRIN2A;DLG4;PRKACG;DRD1;PRKACA;DRD2;PRKACB;RGS9;CDK5R1
GO_Biological_Process_2021	Cytokine-cytokine receptor interaction	63/295	2.820166e-07	1.082239e-05	0	0	2.193177e+00	3.307596e+01	IFNA5;IL21;IFNA7;BMP10;CSF2;IL25;MSTN;IL26;EPO;IFNA2;IL5RA;IFNA8;EDA2R;CCR9;TNFSF11;CCR8;TNFRSF8;AMH;CCR4;IL11;IFNA14;IFNA17;OSMR;EDAR;IL1A;IL23A;LTA;TNFRSF25;IL9R;IFNA10;CCL11;CTF1;CSH1;CXCR1;THPO;CCL1;CCR10;CCL15;IFNA21;TNFSF18;CCL25;CCL24;GDF11;XCR1;IFNB1;TNFRSF9;BMP8B;GDF3;BMP7;ACVR2B;IFNW1;EPOR;BMP5;INHBE;IL22RA1;GH2;GDF9;BMP3;INHA;IL17B;CRLF2;IL17A;PF4
GO_Biological_Process_2021	Calcium signaling pathway	54/240	3.485125e-07	1.131385e-05	0	0	2.341225e+00	3.481306e+01	CHRM2;CHRM5;HTR2A;GRPR;MYLK3;SLC8A2;HTR6;CYSLTR1;GRM5;CCKAR;CYSLTR2;FGF8;PRKACG;PRKACA;PRKACB;PRKCG;LHCGR;TNNC1;TACR2;TACR3;TRHR;TRDN;CCKBR;STIM1;ITPKA;PLCB2;CAMK1G;CAMK2B;CAMK2A;PDGFB;CACNA1B;ADRB1;CACNA1C;ADCY8;CACNA1F;CACNA1G;CACNA1I;GNA14;GRIN2A;PPP3R1;PHKG1;CACNA1S;DRD1;FGF23;NTSR1;FGF22;ATP2B2;GRIN2C;GRIN2D;GRIN1;FGF17;P2RX6;SLC25A31;PLCD1
GO_Biological_Process_2021	Taste transduction	27/86	3.685292e-07	1.131385e-05	0	0	3.671592e+00	5.439003e+01	TAS2R7;HCN4;PKD2L1;CACNA1C;ADCY8;GRM4;GNAT3;PRKACG;P2RY1;TAS2R1;PRKACA;ASIC2;PRKACB;TAS2R4;GABRA2;GABRA1;ENTPD2;GABRA6;HTR1E;GABRA5;GABRA3;TAS2R14;HTR3A;HTR3B;SCNN1G;SCNN1B;PLCB2
